Date,SYMBOL,CLOSE,ML_Prob,Signal,Reason
2025-06-18,PAEL,40.49,0.5366730043285697,HOLD,
2025-06-19,PAEL,39.32,0.5440259168297429,HOLD,
2025-06-20,PAEL,38.87,0.5535745142168242,HOLD,
2025-06-24,PAEL,34.99,0.591546271580914,HOLD,
2025-06-25,PAEL,40.18,0.5263877894358532,HOLD,
2025-06-26,PAEL,39.29,0.54688907063476,HOLD,
2025-06-30,PAEL,40.96,0.5066566375722311,HOLD,
2025-07-01,PAEL,41.16,0.5022234159730202,HOLD,
2025-07-02,PAEL,41.07,0.5060767412639638,HOLD,
2025-07-03,PAEL,40.96,0.5054897543774975,HOLD,
2025-07-04,PAEL,41.28,0.5030664993694506,HOLD,
2025-07-07,PAEL,43.3,0.49950902763061444,HOLD,
2025-07-08,PAEL,42.88,0.5008375897310837,HOLD,
2025-07-10,PAEL,42.18,0.5003942109060354,HOLD,
2025-07-11,PAEL,43.46,0.5002086242641663,HOLD,
2025-07-14,PAEL,43.25,0.5019377439187007,HOLD,
2025-07-15,PAEL,41.79,0.5036460368097416,HOLD,
2025-07-16,PAEL,41.72,0.4887940697843207,HOLD,
2025-07-17,PAEL,42.05,0.5021941388670927,HOLD,
2025-07-18,PAEL,40.96,0.500549224510697,HOLD,
2025-07-21,PAEL,41.0,0.49400817942095104,HOLD,
2025-07-23,PAEL,40.94,0.4880681127327183,HOLD,
2025-07-24,PAEL,40.73,0.48239914910756293,HOLD,
2025-07-25,PAEL,40.47,0.4814475171285117,HOLD,
2025-07-29,PAEL,40.93,0.4891416120319396,HOLD,
2025-07-30,PAEL,40.35,0.48833907032618495,HOLD,
2025-08-01,PAEL,41.02,0.4753350444121996,HOLD,
2025-08-06,PAEL,42.77,0.49921039485550567,HOLD,
2025-08-07,PAEL,42.05,0.49200965906010524,HOLD,
2025-08-08,PAEL,41.51,0.48986519375027476,HOLD,
2025-08-11,PAEL,41.95,0.4885021046802382,HOLD,
2025-08-12,PAEL,42.11,0.49206215451591256,HOLD,
2025-08-13,PAEL,42.47,0.49123386162397836,HOLD,
2025-08-15,PAEL,42.57,0.49419774879596545,HOLD,
2025-08-18,PAEL,42.84,0.49180391569505266,HOLD,
2025-08-19,PAEL,42.92,0.48904004913890836,HOLD,
2025-08-20,PAEL,42.33,0.4858774930833243,HOLD,
2025-08-22,PAEL,45.36,0.5183092477790135,HOLD,
2025-08-27,PAEL,45.06,0.5131066498197281,HOLD,
2025-08-29,PAEL,47.76,0.5459845536246096,HOLD,
2025-09-02,PAEL,52.47,0.5560301025654619,HOLD,
2025-09-04,PAEL,52.61,0.5558567970339012,HOLD,
2025-09-05,PAEL,53.26,0.5654253425344923,HOLD,
2025-09-08,PAEL,57.09,0.563069928104084,HOLD,
2025-09-09,PAEL,55.58,0.5510260253185197,HOLD,
2025-09-10,PAEL,54.84,0.5420021398822138,HOLD,
2025-09-11,PAEL,56.23,0.54308583077579,HOLD,
2025-09-12,PAEL,54.52,0.5269952848512223,HOLD,
2025-09-15,PAEL,54.78,0.5124793891257258,HOLD,
2025-09-16,PAEL,55.73,0.5369215077132907,HOLD,
2025-09-17,PAEL,55.51,0.5259962310601596,HOLD,
2025-09-18,PAEL,55.59,0.526988719440104,HOLD,
2025-09-19,PAEL,55.14,0.5262193018042097,HOLD,
2025-09-22,PAEL,54.29,0.5184154652164757,HOLD,
2025-09-23,PAEL,54.73,0.5253295533517303,HOLD,
2025-09-24,PAEL,54.4,0.49930243523307005,HOLD,
