Date,SYMBOL,CLOSE,ML_Prob,Signal,Reason
2026-02-03,TRIPF,159.41,0.520228906793916,HOLD,
2026-02-04,TRIPF,163.92,0.5435594170610523,HOLD,
2026-02-06,TRIPF,156.57,0.5330946695318389,HOLD,
2026-02-09,TRIPF,153.4,0.5264745987157126,HOLD,
2026-02-10,TRIPF,154.33,0.4947275272428757,HOLD,
2026-02-11,TRIPF,154.61,0.4820705748690899,HOLD,
2026-02-12,TRIPF,154.84,0.5069592177343114,HOLD,
2026-02-13,TRIPF,161.51,0.5493686117156321,HOLD,
2026-02-16,TRIPF,168.36,0.5791225157444567,HOLD,
2026-02-17,TRIPF,171.32,0.585456175772246,HOLD,
2026-02-18,TRIPF,183.82,0.5778938093731543,HOLD,
2026-02-19,TRIPF,184.81,0.5893915600649524,HOLD,
2026-02-23,TRIPF,188.2,0.572828631813535,HOLD,
2026-02-24,TRIPF,191.23,0.5309698252615545,HOLD,
2026-02-26,TRIPF,181.02,0.5667611903364513,HOLD,
2026-03-02,TRIPF,146.63,0.7239198313221202,HOLD,
2026-03-04,TRIPF,130.64,0.6809946328300099,HOLD,
2026-03-05,TRIPF,138.7,0.710751085120099,HOLD,
2026-03-06,TRIPF,134.49,0.744893601408433,HOLD,
2026-03-09,TRIPF,122.57,0.6590432237126826,HOLD,
2026-03-10,TRIPF,120.04,0.6477110798351143,HOLD,
2026-03-11,TRIPF,128.54,0.7345162589466631,HOLD,
2026-03-12,TRIPF,129.19,0.7178424807876808,HOLD,
2026-03-13,TRIPF,129.69,0.7200175813406116,HOLD,
2025-03-14,TRSM,4.34,0.510060917161808,HOLD,
2025-03-17,TRSM,4.35,0.49670959115222674,HOLD,
2025-03-18,TRSM,4.37,0.4804835759620119,HOLD,
2025-03-19,TRSM,4.35,0.4909630700488793,HOLD,
2025-03-20,TRSM,4.32,0.5203874258869258,HOLD,
2025-03-24,TRSM,4.36,0.5059497852420524,HOLD,
2025-03-26,TRSM,4.34,0.5777932646739261,HOLD,
2025-03-27,TRSM,4.33,0.5357168716653458,HOLD,
2025-04-03,TRSM,4.35,0.4256071827623201,HOLD,
2025-04-04,TRSM,4.35,0.4465299447764747,HOLD,
2025-04-07,TRSM,4.34,0.45892033469447546,HOLD,
2025-04-08,TRSM,4.39,0.5160961707156563,HOLD,
2025-04-10,TRSM,4.51,0.547566557607436,HOLD,
2025-04-11,TRSM,4.67,0.5770716598180201,HOLD,
2025-04-14,TRSM,4.69,0.5736536278085768,HOLD,
2025-04-15,TRSM,4.71,0.6037591567806662,HOLD,
